Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
TCMDC-136349,,1089.03,,850.00,,,0.78,,C[C@H]1CN(Cc2cccc(c2)-c2cc(CNC(=O)c3cccc(CC4CCN(C)CC4)c3)ccc2F)CCN1C
DDD01243745,,1090.00,,,5000.00,,,4.59,CN(CCO)CC1=CC(Cl)=CC=C1OCC(O)CN1CCCCCC1
GNF-Pf-4637,,1095.00,,,122.01,,,0.11,CC1CCN(CC1)C2=CC(C)=NC(=N2)N3N=C(C)C=C3C
AV9,,1100.00,,4400.00,,,4.00,,BrC1=CC=C(C2=CC=C(CNCC3CCNCC3)O2)C=C1
AV24,,1100.00,,5000.00,,,4.55,,N#CC1=CC=C(C2=CC=C(CNCC3CCNCC3)O2)C=C1
GNF-Pf-2434,,1104.00,,,61.78,,,0.06,C1=CC=C2N=C3C(N=NC4=CC=CC=C34)=NC2=C1
TCMDC-141443,,1105.81,,385.00,,,0.35,,OC(=O)C(F)(F)F.O=C(C1CC1c1ccccc1)N(Cc1ccc(cc1)-c1ccc(CNCCc2ccccc2)cc1)C1CCNCC1
TCMDC-132065,,1106.82,,453.33,,,0.41,,Cl.CCc1c(CCNCCCC(C)CCNCCc2ccc(OC)c(OC)c2CC)ccc(OC)c1OC
MMV008455,,1108.00,,5000.00,,,4.51,,COc1ccc(cc1)C2C(C(=O)Nc3cccc(OC)c3)c4ccccc4C(=O)N2C5CCCCC5
TCMDC-137795,,1109.67,,1045.00,,,0.94,,CS(O)(=O)=O.COc1cc2ccccc2c(CNCCCCCCNCc2c(OC)c(OC)cc3ccccc23)c1OC
TCMDC-137255,,1112.07,,1015.00,,,0.91,,Cl.CCc1cc(COc2ccc(CNCCC(C)C)cc2I)c(OCc2ccccc2)c(COc2ccc(CNCCC(C)C)cc2I)c1
TCMDC-140605,,1115.87,,176.67,,,0.16,,OC(=O)C(F)(F)F.CN1CCN(CCCN(Cc2ccc(cc2)-c2cccc(CNC3CCCC3)c2)C(=O)Nc2ccccc2)CC1
MMV007577,,1120.00,,5000.00,,,4.46,,Cc1ccccc1OCCSc2nc3ccc(NC(=O)c4ccccc4)cc3s2
MMV665901,,1120.31,,5000.00,,,4.46,,Brc1ccc(cc1)c2oc(cc2)C(=O)Nc3ccc(CN4CCOCC4)cc3
MMV666124,,1125.65,,5000.00,,,4.44,,CC(=O)c1ccc(NC(=O)CSc2nc(ns2)c3ccccc3Cl)cc1
TCMDC-137281,,1129.00,,673.33,,,0.60,,CS(O)(=O)=O.CCCCOc1ccc(CNCCCCCCNCc2ccc(OCCCC)c3ccccc23)c2ccccc12
DDD01038630,,1131.00,,5000.00,,,4.42,,Cc1cccc(NC(=O)c2cccc(OCc3nnnn3C)c2)n1
MMV019189,,1131.76,,1970.00,900.00,,1.74,0.80,Cc1ccc2c(NC(=O)C23NN=C(S3)c4ccccc4)c1C
MMV009127,,1132.00,,5000.00,,,4.42,,CC1CCN(Cc2c(O)ccc3C=C(C(=O)Oc23)c4nc5ccccc5s4)CC1
TCMDC-140567,,1132.46,,845.00,,,0.75,,OC(=O)C(F)(F)F.O=C(N(Cc1cccc(c1)-c1ccc(CNC2CCCC2)cc1)C1CCN(Cc2ccccc2)CC1)c1cccs1
HL36,,1134.00,,1813.00,,,1.60,,FC(F)(F)c1cc(ccc1)N1c2c3cc(ccc3ncc2C=CC1=O)c1cc2ccsc2cc1
GP7,,1136.00,,,517.91,,,0.46,OCC(O)CN(C)CCCN1CN(c2ccccc2)C2(CCN(CC2)CCC2CCC3CC2C3(C)C)C1=O
MMV665972,,1140.00,,5000.00,,,4.39,,Oc1ccc2ccccc2c1C(NC(=O)Cc3ccccc3)c4ccc(Cl)cc4
TCMDC-137621,,1143.88,,53.33,,,0.05,,Cl.CCCCCCC(N)c1ccc(OCCCOc2ccc(cc2)C(N)CCCCCC)cc1
MMV396719,,1150.00,,5000.00,,,4.35,,n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5cccc(OC)c5
TCMDC-134446,,1157.00,,605.00,,,0.52,,OC(=O)C(F)(F)F.CC(C)(C)c1ccc(CN2CCC(CNC(=O)c3cc(cs3)-c3cccc(Cl)c3)C2)cc1
MMV666069,,1159.50,,5000.00,,,4.31,,COc1ccc(CCN2CCC(CN(C)Cc3cnn(c3)c4ccccc4)CC2)cc1
MMV396726,,1160.00,,5000.00,,,4.31,,c1(C#N)nc(Cc2cccc(cccc3)c23)oc1N(CC4)CCN4C(c5ccccc5)c6ccccc6
NCGC00114940a,,1160.00,,620.00,,,0.53,,COc1ccccc1N1CCN(Cc2cc(COCC)c3cccnc3c2O)CC1
PP66,,1160.00,,865.00,,,0.75,,Nc1ccc(cn1)c1ccc2ncc3N(C)C(=O)N(C4CC4)c3c2c1
PP42,,1160.00,,1110.00,,,0.96,,CS(=O)(=O)c1ccc(cc1)c1ccc2ncc3NC(=O)N(c4cc(ccc4)C(F)(F)F)c3c2c1
TCMDC-131549,,1165.69,,923.33,,,0.79,,Cl.C[C@H](Cc1ccc(C[C@@H](C)NC[C@H](O)c2cccc(Cl)c2)cc1)NC[C@H](O)COc1ccccc1
BRD-K87117984-001-01-1,,1168.95,,,4011.19,,,3.43,COc1ccccc1C#Cc1ccc(cc1)[C@@H]1[C@H](CO)N([C@@H]1C#N)C(=O)C1CCCCC1
GP29,,1169.20,,,699.43,,,0.60,Clc1cc(CN2CCCC2)c(O)c2ncccc21
TCMDC-141449,,1170.50,,633.33,,,0.54,,OC(=O)C(F)(F)F.CC(C)CC(=O)N(Cc1ccc(cc1)-c1ccc(CNC2Cc3ccccc3C2)cc1)C1CCNCC1
TCMDC-140608,,1171.63,,5000.00,,,4.27,,OC(=O)C(F)(F)F.CC(C)CNCc1cccc(c1)-c1ccccc1CN(C1CCN(Cc2ccccc2)CC1)C(=O)NCCc1ccccc1
TCMDC-134447,,1178.00,,230.00,,,0.20,,OC(=O)C(F)(F)F.COc1cccc(c1)-c1csc(c1)C(=O)NCC1CCN(Cc2ccc(cc2)C(C)(C)C)C1
MMV396652,,1180.00,,5000.00,,,4.24,,c1(C(c2cccs2)N(CCN3c4ccccc4)CC3)c(C)c(C)sc1NC(c5ccccc5)=O
MMV008127,,1181.00,,5000.00,,,4.23,,CN1CCN(CC1)c2c3CCCc3c(C#N)c4nc5ccccc5n24
TCMDC-140483,,1182.39,,1563.33,,,1.32,,OC(=O)C(F)(F)F.CC(C)CNCc1cccc(c1)-c1cccc(CNCCCN2CCN(C)CC2)c1
GNF-Pf-1611,,1185.00,,,693.30,,,0.59,CC1=C(C(=O)NCC2CCCO2)C3=C(O1)C(=O)C4=CC=CC=C4C3=O
TCMDC-125142,,1189.00,,143.57,,,0.12,,Cc1ccccc1OCC(O)CNC1CCC(CC1)NCC(O)COc1ccccc1C
MMV667492,,1190.00,,2349.00,,,1.97,,C1(N(C)N=O)=C(NC2CCCCC2)C(=O)c(cccc3)c3C1=O
MMV396704,,1190.00,,5000.00,,,4.20,,c12c(ncnc1N(CC3)CCN3C)c4c(ccc(Cl)c4)[nH]2
MMV666095,,1190.00,,5000.00,,,4.20,,CCCc1c(C)nc2ccc(Br)cc2c1O
AV45,,1200.00,,1100.00,,,0.92,,BrC1=CC=C(C2=CC=C(CNCCCN(C)C)O2)C(Cl)=C1
TCMDC-134862,,1206.78,,5000.00,,,4.14,,OC(=O)C(F)(F)F.COc1ccccc1CCNc1nc(C)cc(N[C@@H](Cc2ccccc2)C(=O)NCCOc2ccccc2)n1
MMV665939,,1212.81,,5000.00,,,4.12,,Fc1ccc(cc1)C(=O)Nc2ccsc2C(=O)NC3CCCCC3
BRD-K46850496-001-01-8,,1225.65,,,5000.00,,,4.08,OC[C@@H]1[C@H]([C@H]2CN(CCCCN12)C(=O)Nc1ccccc1F)c1ccc(\C=C\c2ccccc2)cc1
MMV007875,,1226.00,,5000.00,,,4.08,,COc1ccc2nc(C)cc(Nc3ccc(Cl)cc3)c2c1
TCMDC-132867,,1227.40,,840.00,,,0.68,,OC(=O)C(F)(F)F.Cc1cccc2nc([nH]c12)-c1ccc(cc1)-c1cccc(CNCCN2CCNCC2)c1
TCMDC-132279,,1235.63,,1236.67,,,1.00,,OC(=O)C(F)(F)F.Cc1cc(ccc1S(=O)(=O)NCCN1CCCC1)-c1cccc(CNC2CCCC2)c1
MMV000917,,1240.00,,5000.00,,,4.03,,COc1ccc2C3CC(=Nc4ccccc4N3C(=O)c2c1OC)c5ccc(C)cc5
MMV396633,,1240.00,,5000.00,,,4.03,,c1(OCC)c(OCC)cc(cc1Cl)CN([H])C(C)C(O)c2ccccc2
MMV396723,,1240.00,,5000.00,,,4.03,,N1(CC(=O)c(ccc(Cl)c2Cl)c2)c3c(cccc3)N(CCN4CCCCC4)C1=N
TCMDC-134441,,1243.00,,305.00,,,0.25,,OC(=O)C(F)(F)F.CC(C)(C)c1ccc(CN2CCC(CNC(=O)c3cc(cs3)-c3ccccc3C(F)(F)F)C2)cc1
TCMDC-124930,,1244.93,,5000.00,,,4.02,,CS(=O)(=O)c1cccc2sc(nc12)N1CCN(CC1)C(=O)c1ccc(o1)N(=O)=O
GP52,,1249.50,,,828.87,,,0.66,Clc1cc(c2ccc(CNCCN3CCNCC3)o2)c(Cl)cc1
GNF-Pf-2090,,1250.00,,,223.10,,,0.18,COC1=CC=C(C=C1)C2=CN=NC(NN=CC3=CC=C(O3)[N+]([O-])=O)=N2
MMV001049,,1260.00,,2349.00,,,1.86,,CC(C)c1ccc(CNCC(O)c2ccccc2)cc1
MMV666025,,1260.00,,5000.00,,,3.97,,OC(Cn1nnc2ccccc12)Cn3c4ccc(Br)cc4c5cc(Br)ccc35
GP16,,1271.80,,,167.48,,,0.13,[O-][n+]1ccccc1SCc1c(nc2ccc(C)cn12)c1ccccc1
TCMDC-136216,,1273.84,,1400.00,,,1.10,,Cl.NCCCOc1cnc(-c2ccccc2)c2nc(-c3nonc3N)n(CCc3ccccc3)c12
TCMDC-139286,,1283.88,,560.00,,,0.44,,COc1ccc(COc2cc(NCCCN)nc3ccccc23)cc1
TCMDC-137935,,1301.00,,790.00,,,0.61,,OC(=O)C(O)=O.COc1ccc2C(CCCCCCCCC3NC(C)(C)Cc4cc(OC)ccc34)NC(C)(C)Cc2c1
TCMDC-137197,,1309.84,,686.67,,,0.52,,CCN(CC)CCOc1ccc(cc1)C(O)(C#CC(O)(c1ccccc1)c1ccc(OCCN(CC)CC)cc1)c1ccccc1
BRD-K58149752-001-01-9,,1311.27,,,4967.55,,,3.79,COc1cccc(CN2[C@H](CO)[C@@H](c3ccccc3)C22CN(Cc3ccccc3OC)C2)c1
MMV000653,,1320.00,,5000.00,,,3.79,,CCOc1ccccc1CNC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4
GNF-Pf-3997,,1323.00,,,1250.00,,,0.94,CC1=CC(C)=NC(NC2=NC(C)=C3C=C(C)C(C)=CC3=N2)=N1
MMV666070,,1326.94,,5000.00,,,3.77,,FC(F)(F)c1cccc(CNC2CCN(CC2)c3ccc(cc3)C(=O)NC4CCCC4)c1
BRD-K40215908-001-01-2,,1328.02,,,5000.00,,,3.76,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2ccc(C)cc2)Oc2cc(ccc2S1(=O)=O)C#CC1CCCC1
MMV000481,,1330.00,,5000.00,,,3.76,,CCOc1cc(cc(Cl)c1O)C2NCCc3cc(OCC)c(OCC)cc23
MMV396770,,1330.00,,5000.00,,,3.76,,c(n1)(nc(NNC(=O)c(cc2)ccc2)cc1N(CCC3)C3)N(C4)CCC4
MMV687703,,1330.00,,3830.00,,,2.88,,COc1cccc(n1)c2nc3c(cccc3n2CC4CCCN4)N5CCCC5
MMV666093,,1333.00,,5000.00,,,3.75,,CCCC(N1CCN(CC1)C(=O)c2occc2)c3nnnn3C4CCCCC4
BRD-K38867404-001-01-3,,1348.94,,,4582.23,,,3.40,COc1ccc(cc1)C#Cc1ccc(cc1)[C@@H]1[C@@H](CO)N2CCCCN(C[C@H]12)C(=O)Nc1cccc(F)c1
PP64,,1350.00,,2870.00,,,2.13,,Nc1ccc(cn1)c1ccc2ncc3NC(=O)N(C4CCCCC4)c3c2c1
TCMDC-134432,,1356.18,,1256.67,,,0.93,,OC(=O)C(F)(F)F.CCc1ccc(CN2CCC(CNC(=O)c3cc(cs3)-c3cccc(F)c3)C2)cc1
MMV665909,,1360.00,,2019.20,,,1.48,,Brc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3
TCMDC-124776,,1365.46,,1110.00,,,0.81,,Cc1ccc(cc1)-n1nc(-c2ccccc2)c2cc(sc12)C(=O)NCCN
GNF-Pf-2960,,1377.00,,,262.68,,,0.19,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=[N+]4C=C23
MMV000619,,1380.00,,5000.00,,,3.62,,CCCCC(O)(C(CN1CCOCC1)c2ccc(Cl)cc2)c3ccc(Cl)cc3
TCMDC-137453,,1382.34,,313.33,,,0.23,,Cl.N=C(NCCCc1ccccc1)c1cccc(n1)C(=N)NCCCc1ccccc1
MMV396705,,1390.00,,5000.00,,,3.60,,c12c(C(=O)N(C)C(=O)N1C)n(Cc3cccc(OC)c3)c(Oc4ccccc4)n2
DDD01062588,,1410.00,,,69.32,,,0.05,CC(C)(C)C1=CN2CCCC(CNCC3=CC=CC=N3)C2=N1
GP71,,1417.60,,,417.37,,,0.29,O=C(/C=C/c1ccco1)Nc1ccc(Nc2cc(C)nc(n2)N2CCCC2)cc1
GM44,,1420.00,,2480.00,,,1.75,,ClC1=C(Cl)C=C(N=C2N3C(NCC4=NC=CC=C4)=CC(C(F)(F)F)=C2C#N)C3=C1
MMV666071,,1424.96,,5000.00,,,3.51,,Cc1oc(CN2CCC(CC2)C(=O)Nc3ccc(cc3)c4cc5ccccc5[nH]4)cc1
MMV007881,,1425.00,,5000.00,,,3.51,,CCCCN(CCCC)S(=O)(=O)c1ccc(NC(=O)c2occc2)cc1
MMV000561,,1430.00,,5000.00,,,3.50,,CCCN(CCC)CCCNC(=O)c1cc2c(nn(C)c2s1)c3ccc(OC)c(OC)c3
MMV008173,,1430.00,,5000.00,,,3.50,,COc1cc(OC)cc(c1)N2C(=O)N(Cc3ccc(cc3)C(C)(C)C)c4ccccc4S2(=O)=O
DDD01027600,,1450.00,,,3739.33,,,2.58,COC1=CC=C(NC(=O)CN2N=C(C)C(C(C)=O)=C2C)C=C1
MMV665904,,1455.71,,5000.00,,,3.43,,COCCN1C(=Nc2ccccc2C1=O)C
NCGC00126987,,1470.00,,5000.00,,,3.40,,COc1ccc(cc1)CCN1CCC(CC1)CNC(=O)c1cnn(c2ccccc2)c1C1CCN(CC1)C(=O)OC(C)(C)C
TCMDC-123769,,1478.24,,5000.00,,,3.38,,C(SC1=NNC(S1)c1ccccn1)c1ccccc1
MMV665809,,1480.90,,3722.00,,,2.51,,Oc1ccc(Br)cc1CN2CCN(Cc3ccc(Cl)cc3)CC2
BRD-K03006541-001-01-3,,1484.66,,,3902.23,,,2.63,COc1cccc(c1)S(=O)(=O)N1CCCCN2[C@@H](CO)[C@H]([C@@H]2C1)c1ccc(cc1)C#CCC(C)C
MMV666072,,1488.29,,5000.00,,,3.36,,COCCNC(=O)c1ccc(OC2CCN(Cc3ccc(F)c(F)c3)CC2)c(Cl)c1
GNF-Pf-1319,,1491.00,,,701.83,,,0.47,CCC1=CC=C2NC(=O)C3(NN=C(S3)C4=CC=C(C)C=C4)C2=C1
MMV023860,,1496.28,,2130.00,1330.00,,1.42,0.89,NS(=O)(=O)c1cccc(c1)c2ccc3ncc(nc3c2)N4CCOCC4
GNF-Pf-78,,1503.00,,,550.88,,,0.37,CC1=C(C(=O)NCC2=CC=CN=C2)C3=C(O1)C(=O)C4=CC=CC=C4C3=O
GP11,,1545.10,,,580.19,,,0.38,Clc1cc(c(OC)cc1N)C(=O)NCC1CCN(CC2(O)CCN(CC3=CCC4CC3C4(C)C)CC2)CC1
DDD01250162,,1550.00,,,4899.18,,,3.16,CCC1=C(C)C2=CC(C)=CC(CNC3=CC(C)=NC(NC)=N3)=C2N1
TCMDC-136307,,1555.67,,470.00,,,0.30,,OC(=O)C(F)(F)F.CS(=O)(=O)c1cccc(c1)-c1cnc2[nH]cc(-c3cccc(CCN)c3)c2c1
TCMDC-132051,,1567.93,,770.00,,,0.49,,Cl.CCc1c(CCNCCCCCCNCCc2ccc(OC)c(OC)c2C)ccc(OC)c1OC
PP53,,1570.00,,1830.00,,,1.17,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc(F)cc1
NCGC00164738,,1584.89,,5000.00,,,3.15,,CCCCC(=O)OCC(=O)[C@@]4(O)C[C@H](O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1)c5c(O)c3C(=O)c2c(OC)cccc2C(=O)c3c(O)c5C4
BRD-K88581921-001-01-3,,1601.86,,,4360.41,,,2.72,OC[C@@H]1[C@@H]([C@H]2CN(CCCCN12)C(=O)Nc1ccccc1F)c1ccc(\C=C\c2ccccc2)cc1
GP17,,1610.00,,,600.09,,,0.37,COc1ccc(cc1OC)CN1Cc2cc(Cl)c3cccnc3c2OC1
MMV665857,,1654.00,,5000.00,,,3.02,,CCOc1c(Cl)cc(CNC(C)C(O)c2ccccc2)cc1OC
GP20,,1656.50,,,698.38,,,0.42,Clc1cc2CN(COc2c2ncccc21)CCc1ccccc1
GNF-Pf-1153,,1660.00,,,662.58,,,0.40,CC1CCN(CC1)C2=CC(C)=C3C=C(NC(=O)C4=CC=C(O4)[N+]([O-])=O)C=CC3=N2
TCMDC-134437,,1662.55,,455.00,,,0.27,,OC(=O)C(F)(F)F.CC(C)c1ccc(CN2CCC(CNC(=O)c3cc(cs3)-c3cccc(F)c3)C2)cc1
MMV498479,,1663.00,,5000.00,,,3.01,,CCOC(=O)c1cnc2c(CC)cccc2c1O
MMV019724,,1670.00,,420.20,,,0.25,,S1C(=NC2=C1C=CC=C2)NC(C4=C(O)C3=NC=CC=C3C=C4)C5=CC=C(OC(F)F)C=C5
DDD01247914,,1680.00,,,3715.59,,,2.21,CCC1=CC=C2N=C(NCCCN(CCO)CCO)C=C(C)C2=C1
MMV006820,,1689.00,,5000.00,,,2.96,,CCCCc1c(C)nc2c(OC)cccc2c1O
PP50,,1690.00,,3560.00,,,2.11,,FC(F)(F)c1cc(ccc1)N1C(=O)Nc2cnc3ccc(cc3c21)c1ccc(Cl)cc1
TCMDC-140532,,1704.55,,780.00,,,0.46,,OC(=O)C(F)(F)F.CN(C)CCN(Cc1ccccc1-c1ccc(CNCCc2ccccc2)cc1)C(=O)c1ccccc1
MMV085471,,1705.00,,5000.00,,,2.93,,CCOc1ccc(cc1)n2cc(c3ccccc3)c4c(SCc5cc(C)ccc5C)ncnc24
MMV665954,,1720.00,,5000.00,,,2.91,,O=C(NCC1Cc2cccc(c2O1)c3ccncc3)c4csc5CCCCc45
GNF-Pf-783,,1720.00,,,61.38,,,0.04,CC1=CC=CC(=C1)C2=NC3=CC(NC(=O)C4=CC=C(O4)[N+]([O-])=O)=CC=C3O2
MMV396715,,1730.00,,5000.00,,,2.89,,n1(c2c(cccc2)n3)c3c4c(cccc4)NC1(C)c5ccccc5
TCMDC-137201,,1731.09,,224.33,,,0.13,,CCN(CC)CCOc1ccc(cc1)C(O)(C#CC(O)(c1ccc(OCCN(CC)CC)cc1)c1ccc(cc1)N(=O)=O)c1ccc(cc1)N(=O)=O
GP63,,1731.40,,,225.00,,,0.13,Cc1ccc(cc1)Nc1cc(C)nc(n1)Nc1ccc(cc1)NC(=O)C1=Cc2ccccc2OC1=O
HL43,,1734.00,,3358.00,,,1.94,,FC(F)(F)c1cc(ccc1)N1c2c3cc(ccc3ncc2C=CC1=O)c1cc2CCOc2cc1
GP13,,1736.70,,,582.42,,,0.34,Clc1ccc(cc1)C(O)C1CCN(CCCN2CCC(CC2)C(O)c2ccc(Cl)cc2)CC1
MMV666110,,1750.00,,5000.00,,,2.86,,CC(CCC(=C)C)N1CCC(CC1)N2CCC(CC2)C(=O)NCCc3ccccc3
PP51,,1750.00,,1860.00,,,1.06,,FC(F)(F)c1cc(ccc1)N1c2c(cnc3ccc(cc32)c2ccc(Cl)cc2)N(C)C1=O
TCMDC-137456,,1756.00,,450.00,,,0.26,,N=C(NCC1CC1c1ccccc1)c1cccc(n1)C(=N)NCC1CC1c1ccccc1
MMV667490,,1790.00,,4176.00,,,2.33,,C12=C(N=CN(CCCn(ccn3)c3)C1=N)Oc4c(ccc(cccc5)c45)C2c6ccc(OC)c(OC)c6
MMV128432,,1790.00,,5000.00,,,2.79,,COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O
TCMDC-135122,,1811.80,,696.67,,,0.38,,CN1CCN(CC2(CCCCC2)Nc2nccc(NCCc3cn(C)c4ccccc34)n2)CC1
MMV687807,,1820.00,,5000.00,,,2.75,,Oc1ccc(Cl)cc1C(=O)Nc2ccc(c(c2)C(F)(F)F)C(F)(F)F
DDD01073292,,1840.00,,,1313.64,,,0.71,CC1=CN2CCCC(CNCC3=CC4=CC=CC=C4OC3)C2=N1
HL27,,1856.00,,3318.00,,,1.79,,CN(C)c1ncc(cn1)c1cc2c(cc1)ncc1C=CC(=O)N(c3cc(ccc3)C(F)(F)F)c12
MMV659004,,1860.00,,670.00,,,0.36,,Cc1nc(nc(N2CCC(Cc3ccccc3)C2)c1Cl)c4ccccn4
MMV008270,,1927.00,,5000.00,,,2.59,,Oc1c2CCCCc2nc3cc(nn13)c4ccccc4
NCGC00134128,,1930.00,,1180.00,,,0.61,,CC(C)c1ccc(cc1)Nc1cc(C)nc(n1)n1nc(C)cc1C
HL22,,1962.00,,3338.00,,,1.70,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1cc(C)cnc1
MMV666020,,1969.00,,5000.00,,,2.54,,Cc1ccc(OCCCCCCNCCO)c(C)c1
BRD-K12503654-001-01-1,,1990.90,,,3240.33,,,1.63,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)c2ccccc2)Oc2ncc(cc2C1=O)C#Cc1ccccc1
P3b,,2000.00,,1070.00,,,0.54,,c1ccc2Oc3cc(NC4CCCCC4)ccc3Nc2c1
MMV062221,,2000.00,,570.00,220.00,,0.29,0.11,Cc1cc(C)nc(n1)n2nc(C)cc2Nc3ccccc3
MMV1088520,,2000.00,,670.00,450.00,,0.34,0.23,CC(C)N(Cc1ccccn1)Cc2csc(n2)c3oc(C)cc3
MMV560185,,2000.00,,710.00,510.00,,0.36,0.26,C1CCN(CC1)c2cc(nc3ccccc23)c4ccccn4
MMV1028806,,2000.00,,420.00,520.00,,0.21,0.26,Fc1ccccc1C2CC2C(=O)Nc3nc(cs3)c4ccccn4
MMV1037162,,2000.00,,,610.00,,,0.31,CCNC(=O)C(C)Nc1nc(nc2sc(C)c(C)c12)c3cccnc3
MMV1029203,,2000.00,,,840.00,,,0.42,CNC(=O)CNc1nc(nc2scc(c3ccccc3)c12)c4ccccn4
MMV1019989,,2000.00,,,76.00,,,0.04,CCc1ccc(cc1)C(NCc2nc(N)nc(n2)N(C)C)C(C)C
MMV687765,,2010.00,,4280.00,,,2.13,,Cc1cnc(nc1Oc2ccc(cc2)n3ccnc3)N4CCN[C@@H](Cc5ccccc5)C4
MMV665917,,2063.00,,5000.00,,,2.42,,Clc1ccc(NC(=O)N2CCN(CC2)c3ccc4nncn4n3)cc1
AV10,,2100.00,,5000.00,,,2.38,,FC1=CC=C(C2=CC=C(CNCC3CCNCC3)O2)C=C1
AV22,,2100.00,,5000.00,,,2.38,,ClC1=CC=CC=C1C2=CC=C(CNCC3CCNCC3)O2
MMV665918,,2107.00,,5000.00,,,2.37,,Fc1cccc(c1)c2nnc3ccc(SCC(=O)Nc4ccc5OCOc5c4)nn23
MMV688122,,2110.00,,110.00,,,0.05,,Cc1cccc(n1)c2nc(Nc3ccncn3)c4sccc4n2
GP48,,2134.10,,,1241.14,,,0.58,Cc1ccc(cc1Cl)c1ccc(CNCCCN(C)C)o1
BRD-K43504903-001-01-1,,2163.67,,,5000.00,,,2.31,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccc(cc2)C(F)(F)F)Oc2c(NC(=O)c3ccc(cc3)-c3nccs3)cccc2C1=O
MMV665812,,2168.50,,5000.00,,,2.31,,CCc1ccc(CNCC(O)c2ccccc2)cc1
BRD-K27035180-001-01-0,,2174.54,,,5000.00,,,2.30,C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)S(=O)(=O)c2ccc(F)cc2)OCCCC[C@@H](C)Oc2ccc(cc2C1=O)N(C)C
MMV658988,,2180.00,,300.00,,,0.14,,CN(CCc1ccccc1)c2nc(nc(C)c2Cl)c3ccccn3
GP50,,2190.10,,,1857.36,,,0.85,O=C(/C(=C/c1ccc(Cl)cc1Cl)n1cncn1)C(C)C
BRD-K19560511-001-03-3,,2198.90,,,5000.00,,,2.27,CC(C)(C)S(=O)N1Cc2cc(nc(c2[C@H]1CCO)-c1cccc(c1)-c1cc2ccccc2o1)C(=O)NCc1ccc2OCOc2c1
GP4,,2209.40,,,943.58,,,0.43,COc1ccccc1CNCCN1CC(c2ccccc2)N(CCNCc2ccccc2OC)CC1c1ccccc1
MMV1634402,,2210.00,,5000.00,,,2.26,,FC(F)(F)C2=CC(=C(O[C@H]1CNCC1)C(=C2)NC(=O)CCCCNC(=N)N)NC(=O)C3=NC=NC(=C3)C(=O)NC5=C(O[C@H]4CNCC4)C(=CC(=C5)C(F)(F)F)NC(=O)CCCCNC(=N)N
NCGC00104490,,2220.00,,1290.00,,,0.58,,CC(C)c1ccc(cc1)Nc1c(nc2ccccn12)c1ccccn1
GNF-Pf-279,,2222.00,,,1250.00,,,0.56,COC(=O)C1=C(OC)C(=O)OC12C=CC(=O)C=C2
GNF-Pf-4323,,2235.00,,,24.76,,,0.01,O=C(NC1=NC(=CS1)C2=CC=CC=N2)C3=CC=C(OC4=CC=C(C=C4)C(=O)NC5=NC(=CS5)C6=CC=CC=N6)C=C3
GP82,,2246.60,,,1534.34,,,0.68,COc1ccc(cc1)CN(Cc1ccc(OC)cc1)CC1CC2CCN1CC2c1cc(nc(n1)c1ccncc1)C(CC)CC
MMV666109,,2290.20,,5000.00,,,2.18,,CCOC(=O)C1(Cc2ccccc2)CCN(Cc3cccc(OC)c3O)CC1
MMV1782353,,2293.00,,58.40,,,0.03,,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cnc3occc3c2)CCN1C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)N[C@@H]5[C@H](O)Cc6ccccc56
HL38,,2310.00,,5000.00,,,2.16,,FC(F)(F)c1cc(ccc1)N1C(=O)C=Cc2cnc3ccc(cc3c21)c1ccc(OC)cc1
GP18,,2314.80,,,1234.69,,,0.53,Clc1cc2CN(COc2c2ncccc21)CCOC
GP56,,2347.30,,,910.13,,,0.39,Cc1ccc(cc1Cl)c1ccc(CNCC2CCNCC2)o1
GP53,,2359.40,,,876.06,,,0.37,Clc1cccc(c1)COc1ccc(CNCC2CCNCC2)cc1OC
NCGC00134132,,2410.00,,1290.00,,,0.54,,CCCCc1ccc(cc1)Nc1cc(C)nc(n1)n1nc(C)cc1C
BRD-K69197522-001-01-4,,2410.16,,,5000.00,,,2.07,COc1cccc(c1)S(=O)(=O)N1CCCCN2[C@H](CO)[C@@H]([C@H]2C1)c1ccc(cc1)C#CCC(C)C
